Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024,Nisan,16,2024-04-16,Banka Kartı,5104.01,Gıda,Yemek
2024,Mart,14,2024-03-14,Banka Kartı,8373.37,Eğlence,Sinema
2024,Mart,17,2024-03-17,Banka Kartı,3675.11,Giyim,Ayakkabı
2024,Mayıs,17,2024-05-17,Kredi Kartı,3193.27,Giyim,Aksesuar
2024,Nisan,17,2024-04-17,Banka Kartı,5851.58,Fatura,Elektrik
2024,Mart,10,2024-03-10,Dijital Cüzdan,7492.3,Eğlence,Sinema
2024,Mayıs,8,2024-05-08,Banka Kartı,2839.51,Gıda,Market alışverişi
2024,Nisan,3,2024-04-03,Kredi Kartı,3817.31,Abonelikler,Dergi
2024,Mart,15,2024-03-15,Kredi Kartı,6170.12,Fatura,Su
2024,Nisan,4,2024-04-04,Nakit,3325.11,Eğlence,Konser
2024,Nisan,28,2024-04-28,Banka Kartı,3900.4,Sağlık,Hastane
2024,Ocak,22,2024-01-22,Dijital Cüzdan,8129.81,Eğlence,Etkinlik
2024,Nisan,26,2024-04-26,Kredi Kartı,3874.67,Gıda,Yemek
2024,Haziran,23,2024-06-23,Nakit,7483.61,Ulaşım,Benzin
2024,Nisan,16,2024-04-16,Nakit,5288.41,Abonelikler,Dergi
2024,Mayıs,4,2024-05-04,Kredi Kartı,6265.45,Abonelikler,Online hizmet
2024,Nisan,21,2024-04-21,Kredi Kartı,1.0,Sağlık,Hastane
2024,Ocak,21,2024-01-21,Nakit,5479.76,Abonelikler,Online hizmet
2024,Nisan,28,2024-04-28,Dijital Cüzdan,1350.32,Fatura,Elektrik
2024,Mayıs,30,2024-05-30,Dijital Cüzdan,6016.29,Sağlık,Doktor
2024,Mayıs,22,2024-05-22,Dijital Cüzdan,6014.31,Giyim,Aksesuar
2024,Mart,17,2024-03-17,Banka Kartı,4947.19,Sağlık,Doktor
2024,Şubat,21,2024-02-21,Kredi Kartı,6182.09,Ulaşım,Araç kiralama
2024,Nisan,4,2024-04-04,Nakit,1.0,Ulaşım,Benzin
2024,Haziran,22,2024-06-22,Kredi Kartı,1.0,Sağlık,Doktor
2024,Şubat,7,2024-02-07,Kredi Kartı,8241.41,Sağlık,Hastane
2024,Şubat,13,2024-02-13,Dijital Cüzdan,10472.28,Eğlence,Etkinlik
2024,Ocak,10,2024-01-10,Kredi Kartı,7828.82,Fatura,Su
2024,Mayıs,3,2024-05-03,Nakit,6217.82,Ulaşım,Toplu taşıma
2024,Şubat,3,2024-02-03,Nakit,879.61,Gıda,Restoran
2024,Şubat,15,2024-02-15,Dijital Cüzdan,3161.7,Abonelikler,Dergi
2024,Nisan,11,2024-04-11,Nakit,5801.22,Fatura,Doğalgaz
2024,Ocak,19,2024-01-19,Nakit,1511.54,Giyim,Ayakkabı
2024,Mayıs,26,2024-05-26,Kredi Kartı,681.69,Gıda,Restoran
2024,Nisan,9,2024-04-09,Nakit,7955.0,Abonelikler,Dergi
2024,Şubat,28,2024-02-28,Nakit,5530.15,Gıda,Restoran
2024,Ocak,3,2024-01-03,Kredi Kartı,2276.68,Fatura,Elektrik
2024,Mart,18,2024-03-18,Dijital Cüzdan,861.39,Gıda,Yemek
2024,Mart,29,2024-03-29,Dijital Cüzdan,4876.17,Fatura,Elektrik
2024,Mayıs,5,2024-05-05,Kredi Kartı,407.69,Fatura,Su
2024,Nisan,5,2024-04-05,Kredi Kartı,5654.65,Eğlence,Sinema
2024,Şubat,28,2024-02-28,Dijital Cüzdan,3284.82,Abonelikler,Online hizmet
2024,Nisan,28,2024-04-28,Dijital Cüzdan,4125.25,Abonelikler,Online hizmet
2024,Mart,16,2024-03-16,Nakit,5351.87,Eğlence,Konser
2024,Ocak,11,2024-01-11,Banka Kartı,4418.45,Abonelikler,Dergi
2024,Şubat,3,2024-02-03,Nakit,7285.25,Ulaşım,Benzin
2024,Ocak,13,2024-01-13,Kredi Kartı,5157.05,Ulaşım,Benzin
2024,Mart,4,2024-03-04,Dijital Cüzdan,2916.18,Fatura,Doğalgaz
2024,Haziran,9,2024-06-09,Banka Kartı,3107.84,Abonelikler,Online hizmet
2024,Ocak,7,2024-01-07,Nakit,5315.78,Fatura,Doğalgaz
2024,Ocak,26,2024-01-26,Kredi Kartı,5193.57,Abonelikler,Dergi
2024,Haziran,27,2024-06-27,Kredi Kartı,3108.76,Gıda,Yemek
2024,Ocak,17,2024-01-17,Banka Kartı,1149.76,Eğlence,Sinema
2024,Mayıs,16,2024-05-16,Dijital Cüzdan,4072.28,Eğlence,Konser
2024,Nisan,9,2024-04-09,Banka Kartı,7755.2,Eğlence,Konser
2024,Mayıs,18,2024-05-18,Nakit,10957.26,Sağlık,Hastane
2024,Haziran,23,2024-06-23,Kredi Kartı,1749.89,Sağlık,Doktor
2024,Mayıs,22,2024-05-22,Nakit,3855.0,Giyim,Kıyafet
